Province_State,year,Confirmed,Deaths,Total_Test_Results
Alabama,2020,32265623,525695,0.0
Alabama,2021,227778353,4330506,0.0
Alabama,2022,502789993,7121699,0.0
Alabama,2023,109891172,1419701,0.0
Alaska,2020,2780257,14080,55873759.0
Alaska,2021,32190676,169280,895761396.0
Alaska,2022,97242865,468149,285059899.0
Alaska,2023,20702616,99971,0.0
Arizona,2020,47038197,1047218,213400723.0
Arizona,2021,350377313,6589590,3834310191.0
Arizona,2022,769298955,10922994,5023723336.0
Arizona,2023,163622026,2228796,0.0
Arkansas,2020,18385562,285637,92694528.0
Arkansas,2021,144787447,2367537,1204346162.0
Arkansas,2022,318949980,4193867,1347551559.0
Arkansas,2023,67819318,874738,0.0
California,2020,177375410,3042355,1356703881.0
California,2021,1507999676,22355756,26746163826.0
California,2022,3664162945,33289789,41763078911.0
California,2023,816267889,6796914,0.0
Colorado,2020,26262837,617871,179829703.0
Colorado,2021,217749944,2673777,3329388279.0
Colorado,2022,559239641,4689116,4671060646.0
Colorado,2023,119011365,954297,0.0
Connecticut,2020,17121029,1116769,182442542.0
Connecticut,2021,126903669,2976570,3140903366.0
Connecticut,2022,297781639,3999266,3657846786.0
Connecticut,2023,65733147,815411,0.0
Delaware,2020,5142855,159553,97363581.0
Delaware,2021,41525481,634690,700600111.0
Delaware,2022,102980683,1072389,864178847.0
Delaware,2023,22226283,222226,0.0
Florida,2020,137941068,2629026,780254243.0
Florida,2021,980610688,15329964,11791977396.0
Florida,2022,2352090185,27708921,15035442749.0
Florida,2023,507536436,5804125,0.0
Georgia,2020,64458775,1393722,238665575.0
Georgia,2021,457685261,8058126,3478993169.0
Georgia,2022,970117050,13917570,4690011801.0
Georgia,2023,206287720,2855747,0.0
Hawaii,2020,2132843,27385,36738486.0
Hawaii,2021,18687883,223665,659100488.0
Hawaii,2022,107378707,549064,1009622930.0
Hawaii,2023,25648375,122197,0.0
Idaho,2020,10538302,108323,25585343.0
Idaho,2021,79227406,901988,296401161.0
